
SUBSTR(T.CALLER,1,7)					   COUNT(*)
0044782 							 36
0044783 							 96
0044784 							191
0044785 							144
0044786 							 56
0044787 							167
0044788 							104
0044789 							102

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044790 							125
0044791 							 16
0044792 							149
0044793 							101
0044794 							 85
0044795 							 69
0044796 							 89
0044797 							245
0044798 							 73
0044799 							 18
0045202 							 10

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045204 							  5
0045207 							 11
0045208 							  5
0045209 							  8
0045212 							  1
0045216 							  1
0045217 							  1
0045219 							  1
0045222 							 31
0045223 							  1
0045224 							  3

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045232 							  2
0045234 							 10
0045242 							  5
0045244 							 13
0045248 							  1
0045251 							  3
0045259 							 25
0045261 							  6
0045262 							  9
0045264 							  1
0045265 							 34

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045267 							 41
0045268 							  3
0045269 							  1
0045272 							  8
0045273 							  3
0045274 							  4
0045275 							  2
0045276 							  2
0045277 							  2
0045278 							  1
0045279 							 22

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045281 							  9
0045282 							  4
0045283 							  6
0045284 							  7
0045285 							 15
0045286 							 10
0045287 							  2
0045288 							  1
0045289 							  4
0045292 							  3
0045294 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045296 							  4
0045298 							  1
0045299 							  1
0045302 							  1
0045303 							  5
0045306 							  4
0045311 							  2
0045312 							  4
0045317 							  1
0045401 							  8
0045403 							  2

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045404 							  1
0045405 							  2
0045411 							 17
0045414 							 13
0045415 							 14
0045416 							  3
0045504 							  4
0045505 							  4
0045512 							 20
0045513 							  9
0045515 							 44

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045518 							  3
0045601 							  9
0045602 							  5
0045603 							  3
0045606 							  1
0045608 							 10
0045612 							  1
0045616 							  8
0045617 							  1
0045618 							 20
0045619 							 39

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045c25 							  4
0046586 							  3
0046701 							  2
0046702 							 48
0046703 							 44
0046704 							249
0046705 							  8
0046706 							  3
0046707 							 66
0046708 							  1
0046709 							 13

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0046730 							 27
0046732 							  3
0046733 							  8
0046735 							244
0046736 							339
