
SUBSTR(T.CALLED,1,7)					   COUNT(*)
0047917 							  7
0047920 							  3
0047928 							  1
0047930 							  1
0047936 							  9
0047938 							  3
0047942 							  3
0047948 							  6

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047951 							  8
0047954 							  3
0047955 							  1
0047957 							 16
0047958 							  2
0047959 							  3
0047966 							 22
0047970 							  2
0047971 							  7
0047975 							  2
0047976 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047977 							 18
0047979 							  1
0047980 							 21
0047984 							  7
0047986 							 31
0047988 							 15
0047990 							  5
0047991 							  1
0047992 							  1
0047993 							  3
0047994 							  7

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047995 							 21
0047996 							  1
0047998 							 62
0048224 							  4
0048500 							  8
0048501 							  6
0048502 							 13
0048503 							  9
0048505 							  2
0048508 							  5
0048512 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0048602 							  1
0048603 							  1
0048604 							  1
0048605 							  2
0048607 							  4
0048661 							  5
0048663 							  2
0048668 							 15
0048693 							  1
0048697 							  3
0048698 							 24

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0048885 							  3
0049017 							  2
0049020 							  1
0049030 							  1
0049052 							  9
0049151 							232
0049152 							 20
0049160 							176
0049162 							  7
0049163 							  6
0049170 							 89

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0049171 							 57
0049172 							 28
0049173 							 33
0049174 							 18
0049175 							 98
0049176 						       1057
0049177 							  2
0049178 							  5
0049179 							407
0049201 							 19
0049202 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0049211 							  1
0049213 							  1
0049221 							  2
0049227 							  3
0049230 							  4
0049241 							  3
0049244 							  1
0049254 							  1
0049263 							  1
0049304 							  7
0049341 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0049423 							  3
0049505 							  1
0049511 							  1
0049521 							  2
0049525 							  3
0049593 							  1
